Frame, Millseconds, Label, X1, X2, Y1, Y2
1.0,0.03333333333333333,person 0,402,591,225,519
1.0,0.03333333333333333,person 1,1223,1279,147,312
1.0,0.03333333333333333,sports ball 2,540,583,458,502
2.0,0.06666666666666667,person 0,409,597,227,511
2.0,0.06666666666666667,person 1,1220,1279,145,314
2.0,0.06666666666666667,sports ball 2,543,585,465,504
3.0,0.1,person 0,412,600,234,516
3.0,0.1,person 1,1215,1279,146,312
3.0,0.1,sports ball 2,545,587,470,513
4.0,0.13333333333333333,person 0,415,604,237,526
4.0,0.13333333333333333,person 1,1212,1279,146,312
4.0,0.13333333333333333,sports ball 2,548,589,476,518
5.0,0.16666666666666666,person 0,422,611,249,522
5.0,0.16666666666666666,person 1,1212,1280,145,313
5.0,0.16666666666666666,sports ball 2,549,588,483,523
6.0,0.2,person 0,424,617,255,524
6.0,0.2,person 1,1209,1279,143,312
6.0,0.2,sports ball 2,550,589,480,518
7.0,0.23333333333333334,person 0,437,621,264,524
7.0,0.23333333333333334,person 1,1207,1279,143,311
7.0,0.23333333333333334,sports ball 2,549,587,472,514
8.0,0.26666666666666666,person 0,451,623,264,524
8.0,0.26666666666666666,person 1,1204,1275,142,310
8.0,0.26666666666666666,sports ball 2,548,584,467,512
8.0,0.26666666666666666,sports ball 3,551,613,470,507
9.0,0.3,person 0,465,620,263,520
9.0,0.3,person 1,1197,1267,142,312
9.0,0.3,sports ball 2,546,584,470,513
10.0,0.3333333333333333,person 0,465,620,263,517
10.0,0.3333333333333333,person 1,1193,1260,141,312
10.0,0.3333333333333333,sports ball 2,544,582,470,512
11.0,0.3666666666666667,person 0,467,616,260,515
11.0,0.3666666666666667,person 1,1185,1252,141,310
11.0,0.3666666666666667,sports ball 2,540,575,466,506
12.0,0.4,person 0,472,608,259,513
12.0,0.4,person 1,1181,1247,141,308
12.0,0.4,sports ball 2,535,569,467,505
13.0,0.4333333333333333,person 0,481,602,257,510
13.0,0.4333333333333333,person 1,1172,1239,139,310
13.0,0.4333333333333333,sports ball 2,531,568,467,501
14.0,0.4666666666666667,person 0,488,601,254,509
14.0,0.4666666666666667,person 1,1166,1234,135,306
14.0,0.4666666666666667,sports ball 2,526,568,459,499
15.0,0.5,person 0,1158,1230,135,304
15.0,0.5,person 1,499,604,254,501
15.0,0.5,sports ball 2,519,564,455,495
16.0,0.5333333333333333,person 0,500,602,250,494
16.0,0.5333333333333333,person 1,1149,1223,135,298
16.0,0.5333333333333333,sports ball 2,528,562,455,492
17.0,0.5666666666666667,person 0,499,625,245,493
17.0,0.5666666666666667,person 1,1140,1214,132,300
17.0,0.5666666666666667,sports ball 2,528,560,454,486
18.0,0.6,person 0,499,636,242,493
18.0,0.6,person 1,1140,1210,129,296
18.0,0.6,sports ball 2,527,556,448,483
19.0,0.6333333333333334,person 0,499,644,242,489
19.0,0.6333333333333334,person 1,1138,1207,127,293
19.0,0.6333333333333334,sports ball 2,526,558,438,478
20.0,0.6666666666666666,person 0,498,646,243,485
20.0,0.6666666666666666,person 1,1137,1203,122,287
20.0,0.6666666666666666,sports ball 2,524,558,437,478
21.0,0.7,person 0,498,643,245,484
21.0,0.7,person 1,1131,1198,123,286
21.0,0.7,sports ball 2,523,558,434,474
22.0,0.7333333333333334,person 0,501,635,244,482
22.0,0.7333333333333334,person 1,1129,1195,121,285
22.0,0.7333333333333334,sports ball 2,521,556,433,471
23.0,0.7666666666666666,person 0,502,631,245,482
23.0,0.7666666666666666,person 1,1126,1196,121,282
23.0,0.7666666666666666,sports ball 2,522,555,434,469
24.0,0.8,person 0,508,627,245,478
24.0,0.8,person 1,1123,1198,117,283
24.0,0.8,sports ball 2,520,555,433,467
25.0,0.8333333333333334,person 0,507,623,242,473
25.0,0.8333333333333334,person 1,1120,1191,118,282
25.0,0.8333333333333334,sports ball 2,521,549,433,465
25.0,0.8333333333333334,sports ball 3,524,571,431,468
26.0,0.8666666666666666,person 0,501,619,235,465
26.0,0.8666666666666666,person 1,1118,1187,116,285
26.0,0.8666666666666666,sports ball 2,519,549,428,461
27.0,0.9,person 0,499,622,225,467
27.0,0.9,person 1,1116,1182,113,282
28.0,0.9333333333333333,person 0,494,619,221,462
28.0,0.9333333333333333,person 1,1115,1179,113,280
29.0,0.9666666666666667,person 0,490,621,213,459
29.0,0.9666666666666667,person 1,1112,1178,110,278
30.0,1.0,person 0,490,625,213,457
30.0,1.0,person 1,1111,1173,107,278
31.0,1.0333333333333332,person 0,490,632,212,453
31.0,1.0333333333333332,person 1,1109,1171,106,279
32.0,1.0666666666666667,person 0,491,638,210,455
32.0,1.0666666666666667,person 1,1106,1171,107,275
32.0,1.0666666666666667,sports ball 2,517,553,413,452
33.0,1.1,person 0,492,642,211,455
33.0,1.1,person 1,1104,1168,107,276
33.0,1.1,sports ball 2,516,545,413,451
34.0,1.1333333333333333,person 0,493,649,212,455
34.0,1.1333333333333333,person 1,1101,1165,104,276
35.0,1.1666666666666667,person 0,494,651,211,452
35.0,1.1666666666666667,person 1,1100,1164,104,273
36.0,1.2,person 0,500,650,213,449
36.0,1.2,person 1,1097,1162,104,274
37.0,1.2333333333333332,person 0,500,646,212,447
37.0,1.2333333333333332,person 1,1098,1159,102,273
38.0,1.2666666666666668,person 0,504,638,211,438
38.0,1.2666666666666668,person 1,1094,1157,104,276
39.0,1.3,person 0,505,631,210,442
39.0,1.3,person 1,1093,1154,103,272
39.0,1.3,sports ball 2,499,536,382,425
40.0,1.3333333333333333,person 0,510,623,214,438
40.0,1.3333333333333333,person 1,1090,1150,102,268
40.0,1.3333333333333333,sports ball 2,509,541,392,424
41.0,1.3666666666666667,person 0,506,617,212,439
41.0,1.3666666666666667,person 1,1089,1148,99,266
41.0,1.3666666666666667,sports ball 2,506,540,384,423
42.0,1.4,person 0,504,614,211,437
42.0,1.4,person 1,1088,1149,98,267
42.0,1.4,sports ball 2,507,539,385,421
43.0,1.4333333333333333,person 0,501,609,209,439
43.0,1.4333333333333333,person 1,1087,1145,97,267
43.0,1.4333333333333333,sports ball 2,507,537,384,418
44.0,1.4666666666666668,person 0,497,605,206,434
44.0,1.4666666666666668,person 1,1083,1142,94,270
45.0,1.5,person 0,494,600,205,438
45.0,1.5,person 1,1080,1140,95,270
46.0,1.5333333333333332,person 0,492,595,204,438
46.0,1.5333333333333332,person 1,1076,1139,93,265
46.0,1.5333333333333332,sports ball 2,502,540,376,407
47.0,1.5666666666666667,person 0,491,592,203,443
47.0,1.5666666666666667,person 1,1073,1136,93,264
47.0,1.5666666666666667,sports ball 2,502,529,375,400
48.0,1.6,person 0,488,589,205,448
48.0,1.6,person 1,1071,1132,92,263
49.0,1.6333333333333333,person 0,487,587,202,447
49.0,1.6333333333333333,person 1,1066,1131,93,263
50.0,1.6666666666666667,person 0,483,584,200,440
50.0,1.6666666666666667,person 1,1062,1129,91,261
51.0,1.7,person 0,477,581,204,441
51.0,1.7,person 1,1056,1125,89,259
52.0,1.7333333333333332,person 0,474,576,201,441
52.0,1.7333333333333332,person 1,1053,1122,91,258
53.0,1.7666666666666668,person 0,465,567,199,445
53.0,1.7666666666666668,person 1,1049,1118,89,260
54.0,1.8,person 0,458,554,197,445
54.0,1.8,person 1,1045,1116,90,258
55.0,1.8333333333333333,person 0,453,546,196,444
55.0,1.8333333333333333,person 1,1045,1115,89,257
55.0,1.8333333333333333,frisbee 2,515,543,356,384
56.0,1.8666666666666667,person 0,448,543,197,444
56.0,1.8666666666666667,person 1,1044,1115,89,257
56.0,1.8666666666666667,frisbee 2,513,542,354,382
57.0,1.9,person 0,444,540,196,441
57.0,1.9,person 1,1042,1112,89,256
57.0,1.9,frisbee 2,511,541,351,380
58.0,1.9333333333333333,person 0,440,537,196,436
58.0,1.9333333333333333,person 1,1040,1112,90,256
58.0,1.9333333333333333,sports ball 2,512,537,351,382
59.0,1.9666666666666668,person 0,435,532,196,434
59.0,1.9666666666666668,person 1,1036,1110,88,256
60.0,2.0,person 0,433,528,199,434
60.0,2.0,person 1,1033,1108,86,254
60.0,2.0,sports ball 2,512,536,349,377
61.0,2.033333333333333,person 0,430,528,200,433
61.0,2.033333333333333,person 1,1033,1106,88,255
61.0,2.033333333333333,sports ball 2,508,537,349,377
62.0,2.0666666666666664,person 0,428,527,198,435
62.0,2.0666666666666664,person 1,1028,1102,85,255
62.0,2.0666666666666664,sports ball 2,505,536,344,376
63.0,2.1,person 0,427,523,194,428
63.0,2.1,person 1,1024,1098,86,253
63.0,2.1,frisbee 2,501,535,344,371
64.0,2.1333333333333333,person 0,430,523,192,421
64.0,2.1333333333333333,person 1,1017,1093,90,253
64.0,2.1333333333333333,frisbee 2,502,534,345,367
65.0,2.1666666666666665,person 0,434,519,190,421
65.0,2.1666666666666665,person 1,1013,1085,88,253
65.0,2.1666666666666665,frisbee 2,502,532,344,372
66.0,2.2,person 0,435,513,187,418
66.0,2.2,person 1,1007,1078,88,253
66.0,2.2,sports ball 2,496,529,341,373
67.0,2.2333333333333334,person 0,436,510,183,415
67.0,2.2333333333333334,person 1,1002,1073,87,252
67.0,2.2333333333333334,sports ball 2,497,527,340,372
68.0,2.2666666666666666,person 0,435,510,178,413
68.0,2.2666666666666666,person 1,996,1068,87,251
68.0,2.2666666666666666,sports ball 2,495,524,340,373
69.0,2.3,person 0,435,508,176,408
69.0,2.3,person 1,991,1062,89,253
69.0,2.3,sports ball 2,493,521,342,373
70.0,2.3333333333333335,person 0,434,508,174,406
70.0,2.3333333333333335,person 1,984,1058,87,253
70.0,2.3333333333333335,sports ball 2,494,520,340,369
71.0,2.3666666666666667,person 0,433,509,176,405
71.0,2.3666666666666667,person 1,980,1053,87,254
71.0,2.3666666666666667,sports ball 2,493,518,338,368
72.0,2.4,person 0,432,513,176,403
72.0,2.4,person 1,975,1046,89,254
73.0,2.4333333333333336,person 0,430,513,177,403
73.0,2.4333333333333336,person 1,970,1042,89,256
74.0,2.4666666666666663,person 0,966,1037,89,257
74.0,2.4666666666666663,person 1,428,514,175,404
74.0,2.4666666666666663,bench 2,1212,1276,37,59
75.0,2.5,person 0,961,1033,90,257
75.0,2.5,person 1,427,506,178,402
76.0,2.5333333333333337,person 0,424,499,180,403
76.0,2.5333333333333337,person 1,956,1028,91,256
76.0,2.5333333333333337,sports ball 2,486,508,337,362
77.0,2.5666666666666664,person 0,421,496,181,401
77.0,2.5666666666666664,person 1,952,1019,89,256
77.0,2.5666666666666664,sports ball 2,476,500,336,361
78.0,2.6,person 0,413,493,181,398
78.0,2.6,person 1,946,1012,88,251
78.0,2.6,sports ball 2,472,497,334,363
79.0,2.6333333333333333,person 0,409,488,182,398
79.0,2.6333333333333333,person 1,940,1001,85,252
79.0,2.6333333333333333,sports ball 2,462,491,333,362
80.0,2.6666666666666665,person 0,403,483,182,393
80.0,2.6666666666666665,person 1,935,991,86,252
80.0,2.6666666666666665,sports ball 2,460,487,335,360
81.0,2.7,person 0,396,485,178,392
81.0,2.7,person 1,927,983,87,251
81.0,2.7,sports ball 2,457,483,335,362
82.0,2.7333333333333334,person 0,389,485,174,391
82.0,2.7333333333333334,person 1,918,975,86,251
82.0,2.7333333333333334,sports ball 2,455,477,333,360
83.0,2.7666666666666666,person 0,387,485,172,387
83.0,2.7666666666666666,person 1,911,969,85,253
83.0,2.7666666666666666,sports ball 2,451,474,334,360
84.0,2.8,person 0,384,485,171,386
84.0,2.8,person 1,901,963,85,249
85.0,2.8333333333333335,person 0,382,486,170,383
85.0,2.8333333333333335,person 1,892,959,89,251
85.0,2.8333333333333335,sports ball 2,442,464,333,360
86.0,2.8666666666666667,person 0,381,487,168,376
86.0,2.8666666666666667,person 1,889,951,86,253
86.0,2.8666666666666667,person 2,854,962,92,244
86.0,2.8666666666666667,sports ball 3,438,460,334,361
87.0,2.9,person 0,380,487,168,372
87.0,2.9,person 1,859,947,88,250
87.0,2.9,sports ball 2,440,462,331,357
88.0,2.9333333333333336,person 0,381,488,168,382
88.0,2.9333333333333336,person 1,859,945,87,249
88.0,2.9333333333333336,sports ball 2,438,468,325,358
89.0,2.9666666666666663,person 0,385,488,168,386
89.0,2.9666666666666663,person 1,850,941,87,251
89.0,2.9666666666666663,sports ball 2,446,477,324,356
90.0,3.0,person 0,385,489,169,377
90.0,3.0,person 1,857,940,90,251
90.0,3.0,sports ball 2,450,487,318,353
91.0,3.0333333333333337,person 0,387,489,167,381
91.0,3.0333333333333337,person 1,865,938,89,254
91.0,3.0333333333333337,sports ball 2,460,498,319,349
92.0,3.0666666666666664,person 0,390,489,165,383
92.0,3.0666666666666664,person 1,855,935,88,252
92.0,3.0666666666666664,sports ball 2,471,507,316,346
93.0,3.1,person 0,393,489,165,382
93.0,3.1,person 1,858,932,87,254
93.0,3.1,sports ball 2,483,519,319,347
94.0,3.1333333333333333,person 0,396,486,165,383
94.0,3.1333333333333333,person 1,856,929,90,251
94.0,3.1333333333333333,sports ball 2,494,526,322,351
95.0,3.1666666666666665,person 0,398,483,164,381
95.0,3.1666666666666665,person 1,850,926,90,252
95.0,3.1666666666666665,sports ball 2,502,532,322,349
96.0,3.2,person 0,399,478,163,378
96.0,3.2,person 1,849,923,87,249
96.0,3.2,sports ball 2,505,536,320,350
97.0,3.2333333333333334,person 0,399,473,163,381
97.0,3.2333333333333334,person 1,847,915,85,250
97.0,3.2333333333333334,sports ball 2,508,540,318,348
98.0,3.2666666666666666,person 0,398,467,163,371
98.0,3.2666666666666666,person 1,841,909,87,252
98.0,3.2666666666666666,sports ball 2,510,543,317,347
99.0,3.3,person 0,400,473,163,370
99.0,3.3,person 1,836,905,87,251
99.0,3.3,sports ball 2,514,545,317,347
100.0,3.3333333333333335,person 0,402,477,162,371
100.0,3.3333333333333335,person 1,830,899,88,252
100.0,3.3333333333333335,sports ball 2,517,550,319,347
101.0,3.3666666666666667,person 0,405,484,163,369
101.0,3.3666666666666667,person 1,825,897,88,250
101.0,3.3666666666666667,sports ball 2,520,552,319,348
102.0,3.4,person 0,410,497,162,369
102.0,3.4,person 1,822,895,86,251
102.0,3.4,sports ball 2,523,555,320,349
103.0,3.4333333333333336,person 0,414,502,163,369
103.0,3.4333333333333336,person 1,821,894,88,252
103.0,3.4333333333333336,sports ball 2,529,560,323,350
104.0,3.4666666666666663,person 0,415,506,164,370
104.0,3.4666666666666663,person 1,815,892,86,251
104.0,3.4666666666666663,sports ball 2,530,562,323,350
105.0,3.5,person 0,416,510,164,371
105.0,3.5,person 1,817,889,86,252
105.0,3.5,sports ball 2,532,564,322,348
106.0,3.5333333333333337,person 0,414,512,164,371
106.0,3.5333333333333337,person 1,819,888,88,254
106.0,3.5333333333333337,sports ball 2,535,566,320,348
107.0,3.5666666666666664,person 0,414,512,164,369
107.0,3.5666666666666664,person 1,820,885,91,255
107.0,3.5666666666666664,sports ball 2,539,568,320,348
108.0,3.6,person 0,416,506,169,368
108.0,3.6,person 1,823,884,92,257
108.0,3.6,sports ball 2,544,573,323,349
109.0,3.6333333333333333,person 0,417,502,170,364
109.0,3.6333333333333333,person 1,824,884,93,258
109.0,3.6333333333333333,sports ball 2,547,576,327,351
110.0,3.6666666666666665,person 0,419,504,171,362
110.0,3.6666666666666665,person 1,824,883,94,257
110.0,3.6666666666666665,sports ball 2,550,579,326,352
111.0,3.7,person 0,826,882,93,257
111.0,3.7,person 1,423,504,173,362
111.0,3.7,sports ball 2,550,582,324,351
112.0,3.7333333333333334,person 0,430,509,171,364
112.0,3.7333333333333334,person 1,825,881,94,257
112.0,3.7333333333333334,sports ball 2,553,583,323,351
113.0,3.7666666666666666,person 0,442,517,170,362
113.0,3.7666666666666666,person 1,825,881,93,256
113.0,3.7666666666666666,sports ball 2,556,587,322,350
114.0,3.8,person 0,825,881,94,258
114.0,3.8,person 1,454,527,170,362
114.0,3.8,sports ball 2,558,590,322,349
115.0,3.8333333333333335,person 0,462,530,166,360
115.0,3.8333333333333335,person 1,825,880,92,258
115.0,3.8333333333333335,sports ball 2,561,591,322,349
116.0,3.8666666666666667,person 0,470,532,164,362
116.0,3.8666666666666667,person 1,824,881,93,258
116.0,3.8666666666666667,sports ball 2,563,594,323,349
117.0,3.9,person 0,473,537,162,359
117.0,3.9,person 1,824,881,92,258
117.0,3.9,sports ball 2,566,596,321,349
118.0,3.9333333333333336,person 0,477,540,163,357
118.0,3.9333333333333336,person 1,823,882,91,257
118.0,3.9333333333333336,sports ball 2,570,599,319,348
119.0,3.9666666666666663,person 0,479,546,165,357
119.0,3.9666666666666663,person 1,822,882,89,256
119.0,3.9666666666666663,sports ball 2,572,603,318,347
120.0,4.0,person 0,481,556,163,354
120.0,4.0,person 1,822,882,87,255
120.0,4.0,sports ball 2,574,604,316,344
121.0,4.033333333333333,person 0,483,564,160,354
121.0,4.033333333333333,person 1,821,883,87,252
121.0,4.033333333333333,sports ball 2,577,608,314,343
122.0,4.066666666666666,person 0,486,564,163,352
122.0,4.066666666666666,person 1,820,882,86,250
122.0,4.066666666666666,sports ball 2,579,609,315,343
123.0,4.1,person 0,489,563,164,352
123.0,4.1,person 1,819,882,86,249
123.0,4.1,sports ball 2,581,611,315,341
124.0,4.133333333333333,person 0,496,565,163,349
124.0,4.133333333333333,person 1,819,883,85,250
124.0,4.133333333333333,sports ball 2,581,612,314,342
125.0,4.166666666666667,person 0,820,882,84,250
125.0,4.166666666666667,person 1,502,565,162,349
125.0,4.166666666666667,sports ball 2,581,611,314,343
126.0,4.2,person 0,820,881,85,250
126.0,4.2,person 1,511,564,159,344
126.0,4.2,sports ball 2,582,612,314,344
